avg,growth,spike,acceleration,weatherImpact,caseFactor,rule_score
0.1457690064996657,0.421372601377881,0.0,0.0,0.6254964681455157,0.7592920798167919,0.3634819150722799
0.6031686772271819,0.48994267007897174,0.0,0.0,0.7191459466789576,0.27364050943608254,0.32255922543225735
0.18016372298776934,0.11984517759209201,0.5,1.0,0.473106934290793,0.5779875683934224,0.4719186184021176
0.3168771589188313,0.4830173963733756,1.0,0.5,0.3646981422958586,0.0932576916228528,0.1983755397292599
0.5134857396694125,0.4167286497898155,0.0,1.0,0.6763255594779224,0.37947606797012867,0.4138167404175717
0.8089796662164597,0.00235650745581395,0.0,1.0,0.8560896342186961,0.5593615998028537,0.5907643101113318
0.23101561302068832,0.4919631087311186,0.0,1.0,0.3473424046195685,0.3074140274363961,0.3288843802786666
0.2519446405873225,0.5644701381698141,1.0,0.0,0.42615621644456225,0.962538743719382,0.6018242971069829
0.7032833489987894,0.9150032193381472,0.0,0.0,0.4599974983942946,0.8668265453518369,0.6591008684439704
0.536719081114889,0.9520153767480537,1.0,0.5,0.6940600809290105,0.23701219164035126,0.5556210112068386
0.45856615846436455,0.5741398471358672,0.0,0.0,0.5718292889988137,0.9050417980077761,0.5192960978247129
0.18083490519410367,0.1899167735340287,1.0,0.5,0.3949591243038549,0.3115235877860294,0.32139772119699717
0.21763810942576983,0.4114427853788537,0.5,0.5,0.5540332494650904,0.32150405874092436,0.32839219940035375
0.62906710968461,0.17452458332829102,0.0,0.5,0.4209512089511148,0.6621326973165419,0.48187293909587564
0.9396096956258057,0.30752926116743173,1.0,1.0,0.38107803067677865,0.4630826295781524,0.592117164722181
0.18635221932592677,0.8592766238579159,1.0,0.0,0.6325035910823942,0.5081407498221,0.5856033308349164
0.5736139521497747,0.10976063852879714,1.0,1.0,0.3757636961289349,0.7100850059949975,0.6791177160890247
0.7170062129025564,0.2284138814925123,0.5,0.0,0.40354918496241543,0.9110321652992812,0.5697666857999928
0.9594521270762965,0.5270013122075745,0.5,0.0,0.3944991322273895,0.666487038740165,0.6673332871455545
0.9664796228489158,0.03601482995169103,0.5,0.0,0.7547798027497576,0.3699376468149149,0.3925598279854171
0.313385647040414,0.7678288492065742,0.0,1.0,0.8401012372577481,0.44758370975269657,0.4571248290675614
0.48969488275698136,0.41782378086491256,0.5,1.0,0.4606813484162675,0.5820011711436701,0.6388327791136833
0.3057121743919312,0.4033348820094571,0.5,1.0,0.4004687057673666,0.036370198348009364,0.18594731322651287
0.9999353361579175,0.12525398939943833,1.0,0.0,0.7018236218689229,0.9796877341635809,0.7474140072168434
0.7821227235827268,0.13650885860840312,1.0,1.0,0.44377814026904366,0.7357715231357856,0.7602961503809803
0.8310042444918969,0.15179621360133966,1.0,1.0,0.5369643015641381,0.008287952572005541,0.25704173896748755
0.9354063707427558,0.4997774355027155,0.0,1.0,0.7297154822773384,0.02015255876224553,0.2530273320314754
0.2978525881548863,0.5150673882507133,1.0,0.0,0.3004388280166438,0.8776132862390368,0.573689163558616
0.9938847934721405,0.5527962493956727,0.5,1.0,0.7366601452956785,0.2848846037193665,0.594005576748001
0.43439089268510267,0.12709402007808057,0.5,0.0,0.6879430434070469,0.28392367900824067,0.27200235972555287
0.7952807051463455,0.1572653471738964,1.0,0.0,0.7852768951731119,0.1420451039097873,0.2139349034546586
0.9499307899614817,0.594904466944232,1.0,0.5,0.604902397700283,0.8600216102072552,0.8911999155359819
0.4263577846063662,0.8069640369080235,0.0,1.0,0.7757086861919495,0.968324749296086,0.7508841630873279
0.42230684042961664,0.6516138837996794,1.0,0.5,0.6658333771503933,0.6743735944007172,0.7160535796739876
0.9024420430660555,0.5811781160291348,1.0,1.0,0.8355001107707425,0.609769300374997,0.9215310130791741
0.8063592030348418,0.6371458430244703,0.0,0.5,0.6835233972648798,0.5156566141020433,0.6476778842134667
0.1835318270519573,0.8367091484445631,1.0,0.0,0.8049172671188576,0.7634509169656766,0.647418745331749
0.5865348522052384,0.8578962531496181,0.0,1.0,0.36909293003464677,0.7618943778653202,0.7297226875255048
0.20538040803672053,0.07091583932971968,1.0,0.5,0.32560925101598515,0.7605825062503317,0.4890205085951109
0.7737759182301398,0.10172660734178629,1.0,1.0,0.3698157211269195,0.2349273895643037,0.48114860799753084
0.7191204190279025,0.23406349482309696,1.0,0.5,0.37817107290607266,0.31872087848450814,0.4506099618012404
0.15479204844852765,0.6975622603365335,0.5,1.0,0.7976161975877333,0.3371707739694887,0.444767965628522
0.6875387138555998,0.9222712176282634,1.0,0.5,0.6597194737837218,0.6505572586285765,0.8579128176678333
0.6068273136523347,0.31966859874404907,1.0,0.5,0.49690436568675556,0.8376259739777215,0.7041809751459325
0.5280246830807254,0.6088610204050431,0.0,1.0,0.813898208118051,0.8773614908461702,0.7174847790065175
0.32938837513276087,0.6462728253403249,0.0,1.0,0.5300242947521101,0.4761252965703593,0.4189591557481443
0.5864367435063563,0.02143234678787842,0.0,0.0,0.6780747074112548,0.926470015531914,0.43439058359638477
0.9244923242479687,0.8496873376186385,0.5,0.5,0.7267557380100416,0.3004205714507444,0.5793969148276524
0.31481065596736624,0.16461242543734844,0.0,0.0,0.8039574617976162,0.5278830346050171,0.321568656250312
0.9189144086025385,0.07005961041196118,0.0,0.5,0.8477998389888766,0.4531747958910559,0.4077031261956379
0.3393415231937313,0.2344776997878718,1.0,0.0,0.35750674187317605,0.5607521147942028,0.4583229790512455
0.329095155235909,0.6723381435490277,1.0,0.5,0.5428823713470751,0.4547971256614213,0.47779555854376604
0.4632582884037627,0.6998746235733645,0.5,1.0,0.6355173995147438,0.09835157217889512,0.24886727872068937
0.33013164243567394,0.2740434918939836,0.0,0.0,0.6148902809835394,0.6531978156388455,0.3596789569303211
0.9532356807734507,0.8973224237338093,0.0,0.0,0.6935100409376724,0.9544376615844579,0.7705398465761464
0.3273070193239249,0.6438272960844692,0.5,0.0,0.604033898899659,0.060503821795262036,0.16266123362692525
0.30147167505221584,0.8818104856506334,1.0,0.5,0.6585163452215119,0.08933139156842052,0.24784481470566339
0.1622206737895641,0.007044505304775295,0.0,0.0,0.52857507133846,0.7059403911170246,0.244472913820314
0.6368593313945631,0.5379331419340699,1.0,0.0,0.4667749329548737,0.2049980530832981,0.4224136416105251
0.7023696643816829,0.6735332858962715,0.0,1.0,0.37991733776831405,0.42630961710184667,0.4892609084893301
0.6894584704667204,0.40665409388452456,0.5,0.0,0.8044928360492469,0.445875741048927,0.41484412231939294
0.8763684902259211,0.703245087167741,1.0,0.5,0.5889782089759543,0.34383876924458234,0.5935405452046676
0.3060324288117141,0.3136197192391481,0.5,1.0,0.6441037883741465,0.17430295841487797,0.1977942515894766
0.5061091322898216,0.7388927794890275,0.0,0.5,0.4798241984793654,0.5348764761496739,0.5665136496370747
0.61641141177273,0.6164468524425079,0.0,0.5,0.8572074766920983,0.606113146876987,0.6209785136870531
0.33942693046107,0.20724675262514292,0.5,0.5,0.5884777155008454,0.969993952073185,0.5564863292593282
0.8834062410389555,0.19890904022352573,0.5,0.0,0.352268616836455,0.6810480324879141,0.5611856005487964
